hours_sleep,days_exercised,study_hours,social_score,attendance_pct,gpa,family_support,screen_time,concentration_issues,appetite_change,label,cluster
7.745071229516849,3,5.636758667388033,3.617056886631825,74.8420263655731,8.31490881976327,7.411245510118743,2.6985419354088065,0,Decreased,0,1
6.792603548243223,0,4.708241779177036,4.365120734006912,92.29537080406904,6.5323216401159625,3.095621749558972,8.790721126390036,0,Increased,1,1
7.971532807151039,2,8.107277504209577,3.115344715772596,75.93401340239261,8.878519543447013,10.0,1.0744083647953886,1,Same,0,0
9.284544784612038,0,0.541111553720552,5.956633878693729,83.77616014487586,8.704683361487268,9.239819653934376,8.080709573777078,0,Same,0,1
6.648769937914996,5,6.018466479573598,7.812331363258102,100.0,7.154676888575807,6.031439424000785,5.097289570043325,1,Same,0,0
6.648794564576229,6,5.792881740801455,0.6430700652973975,77.06998917027825,6.3228319145126,8.16848623249494,3.7763325116450233,1,Decreased,1,0
9.368819223261088,0,1.5532423239459308,6.023596326605631,66.12412891512567,5.540758161125565,1.907995339223021,5.417507304239345,0,Increased,0,1
8.151152093729364,7,5.514266672946319,4.308320570702136,72.36943369755868,6.943654735950713,10.0,6.833370017945453,1,Same,0,0
6.295788421097572,3,4.172289926052458,5.283485979916724,96.93158592025148,7.854638379556269,4.524463469498777,8.416866841735992,0,Same,0,1
7.8138400653789475,2,3.0450474800931846,6.147485004185727,88.05677364856251,6.513734708439039,5.698756465251601,5.782857557833831,0,Same,0,1
6.304873460781307,0,1.8521290260560008,4.529493903067947,83.45347145573496,3.7037484921069552,1.3601667820289087,2.773259786844307,0,Decreased,1,1
6.301405369644614,3,2.061781097101628,4.741032866485549,78.89087433626116,8.903070841864857,7.215718261852237,5.139075309414471,0,Same,0,1
7.362943407349051,5,7.599624191571852,4.465312081113403,90.82431889063828,7.28533483276734,3.234139607307228,9.541983091655933,0,Same,0,1
4.130079633013303,4,3.501365637914965,7.425790504470703,74.81074178811733,6.430563254984749,6.254139403915073,8.369195213781559,0,Same,0,1
4.412623251230451,0,5.064260003062918,6.046899900318741,88.66798682371115,8.285737582634933,4.639313917688654,7.271908695310897,0,Same,1,1
